4
0,1,2
0 1
( 0 0 0 )
( 0 1 1 )
( 1 0 0 )
( 1 1 2 )
( 2 0 0 )
( 2 1 3 ) 
( 3 0 3 ) 
( 3 1 3 )

1
000
111000
000111
011010
1010101110
10101
00110110110
111
/////
10
6,7,8
a b c d e f g h i j k l m n o p q r s t u v w x y z - _ . @ 0 1 2 3 4 5 6 7 8 9
( 0 a 1 ) 
( 1 a 1 ) 
( 2 a 3 ) 
( 3 a 3 ) 
( 4 a 5 ) 
( 5 a 6 ) 
( 6 a 7 ) 
( 7 a 8 ) 
( 8 a 9 ) 
( 9 a 9 ) 
( 0 b 1 ) 
( 1 b 1 ) 
( 2 b 3 ) 
( 3 b 3 )  
( 4 b 5 ) 
( 5 b 6 ) 
( 6 b 7 ) 
( 7 b 8 ) 
( 8 b 9 ) 
( 9 b 9 ) 
( 0 c 1 ) 
( 1 c 1 ) 
( 2 c 3 ) 
( 3 c 3 ) 
( 4 c 5 ) 
( 5 c 6 ) 
( 6 c 7 ) 
( 7 c 8 ) 
( 8 c 9 ) 
( 9 c 9 ) 
( 0 d 1 ) 
( 1 d 1 ) 
( 2 d 3 ) 
( 3 d 3 ) 
( 4 d 5 ) 
( 5 d 6 ) 
( 6 d 7 ) 
( 7 d 8 ) 
( 8 d 9 ) 
( 9 d 9 ) 
( 0 e 1 ) 
( 1 e 1 ) 
( 2 e 3 )  
( 3 e 3 )  
( 4 e 5 )  
( 5 e 6 ) 
( 6 e 7 ) 
( 7 e 8 ) 
( 8 e 9 ) 
( 9 e 9 )
( 0 f 1 ) 
( 1 f 1 ) 
( 2 f 3 ) 
( 3 f 3 ) 
( 4 f 5 ) 
( 5 f 6 ) 
( 6 f 7 ) 
( 7 f 8 ) 
( 8 f 9 ) 
( 9 f 9 )
( 0 g 1 ) 
( 1 g 1 ) 
( 2 g 3 ) 
( 3 g 3 ) 
( 4 g 5 ) 
( 5 g 6 ) 
( 6 g 7 ) 
( 7 g 8 ) 
( 8 g 9 ) 
( 9 g 9 )
( 0 h 1 ) 
( 1 h 1 ) 
( 2 h 3 ) 
( 3 h 3 ) 
( 4 h 5 ) 
( 5 h 6 ) 
( 6 h 7 ) 
( 7 h 8 ) 
